;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Censo Nacional de Población y Vivienda - CNPV 2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PERSONAS (Demográfico);;;;;;;;;;;;;;;;;;;;
Población total censada, por sexo e índices de masculinidad y feminidad, según departamentos, áreas (Total, Cabecera y Centros poblados y Rural disperso) y grupos de edad ;;;;;;;;;;;;;;;;;;;;
Cuadro 1PD Departamental ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;
Grupos de edad, departamento y Áreas  (Total, Cabecera y Centros poblados y Rural disperso) ;;;Total;Sexo;;Índice de  Masculinidad;Índice de Feminidad;;;;;;;;;;;;;
;;;;Hombre;Mujer;;;;;;;;;;;;;;;
;Rural disperso;Total;619.823;316.862;302.961;104,6;95,6;;;;;;;;;;;;;
;;0 a 4;53.673;27.369;26.304;104,0;96,1;;;;;;;;;;;;;
;;5 a 9;57.566;29.516;28.050;105,2;95,0;;;;;;;;;;;;;
;;10 a 14;59.777;30.539;29.238;104,4;95,7;;;;;;;;;;;;;
;;15 a 19;61.731;31.729;30.002;105,8;94,6;;;;;;;;;;;;;
;;20 a 24;57.437;29.363;28.074;104,6;95,6;;;;;;;;;;;;;
;;25 a 29;49.874;25.370;24.504;103,5;96,6;;;;;;;;;;;;;
;;30 a 34;45.096;23.008;22.088;104,2;96,0;;;;;;;;;;;;;
;;35 a 39;42.458;21.571;20.887;103,3;96,8;;;;;;;;;;;;;
;;40 a 44;34.250;17.629;16.621;106,1;94,3;;;;;;;;;;;;;
;;45 a 49;30.121;15.472;14.649;105,6;94,7;;;;;;;;;;;;;
;;50 a 54;27.759;14.310;13.449;106,4;94,0;;;;;;;;;;;;;
;;55 a 59;25.195;12.786;12.409;103,0;97,1;;;;;;;;;;;;;
;;60 a 64;21.094;11.017;10.077;109,3;91,5;;;;;;;;;;;;;
;;65 a 69;17.463;9.084;8.379;108,4;92,2;;;;;;;;;;;;;
;;70 a 74;13.634;7.067;6.567;107,6;92,9;;;;;;;;;;;;;
;;75 a 79;10.668;5.388;5.280;102,0;98,0;;;;;;;;;;;;;
;;80 a 84;6.743;3.297;3.446;95,7;104,5;;;;;;;;;;;;;
;;85 y más;5.284;2.347;2.937;79,9;125,1;;;;;;;;;;;;;
20_Cesar;Total;Total;1.098.577;543.838;554.739;98,0;102,0;;;;;;;;;;;;;
;;0 a 4;103.176;52.638;50.538;104,2;96,0;;;;;;;;;;;;;
;;5 a 9;110.856;56.543;54.313;104,1;96,1;;;;;;;;;;;;;
;;10 a 14;111.563;57.250;54.313;105,4;94,9;;;;;;;;;;;;;
;;15 a 19;108.772;55.623;53.149;104,7;95,6;;;;;;;;;;;;;
;;20 a 24;97.717;48.722;48.995;99,4;100,6;;;;;;;;;;;;;
;;25 a 29;90.910;44.782;46.128;97,1;103,0;;;;;;;;;;;;;
;;30 a 34;80.529;39.103;41.426;94,4;105,9;;;;;;;;;;;;;
;;35 a 39;74.908;36.361;38.547;94,3;106,0;;;;;;;;;;;;;
;;40 a 44;64.256;30.752;33.504;91,8;108,9;;;;;;;;;;;;;
;;45 a 49;58.611;27.896;30.715;90,8;110,1;;;;;;;;;;;;;
;;50 a 54;51.708;24.528;27.180;90,2;110,8;;;;;;;;;;;;;
;;55 a 59;42.329;20.350;21.979;92,6;108,0;;;;;;;;;;;;;
;;60 a 64;32.397;15.185;17.212;88,2;113,3;;;;;;;;;;;;;
;;65 a 69;25.844;12.445;13.399;92,9;107,7;;;;;;;;;;;;;
;;70 a 74;17.686;8.778;8.908;98,5;101,5;;;;;;;;;;;;;
;;75 a 79;12.469;6.077;6.392;95,1;105,2;;;;;;;;;;;;;
;;80 a 84;8.066;3.751;4.315;86,9;115,0;;;;;;;;;;;;;
;;85 y más;6.780;3.054;3.726;82,0;122,0;;;;;;;;;;;;;
;Cabecera;Total;833.959;403.824;430.135;93,9;106,5;;;;;;;;;;;;;
;;0 a 4;75.324;38.461;36.863;104,3;95,8;;;;;;;;;;;;;
;;5 a 9;80.356;40.811;39.545;103,2;96,9;;;;;;;;;;;;;
;;10 a 14;80.763;41.178;39.585;104,0;96,1;;;;;;;;;;;;;
;;15 a 19;81.291;41.090;40.201;102,2;97,8;;;;;;;;;;;;;
;;20 a 24;75.741;37.130;38.611;96,2;104,0;;;;;;;;;;;;;
;;25 a 29;71.596;34.748;36.848;94,3;106,0;;;;;;;;;;;;;
;;30 a 34;62.758;29.771;32.987;90,3;110,8;;;;;;;;;;;;;
;;35 a 39;58.291;27.753;30.538;90,9;110,0;;;;;;;;;;;;;
;;40 a 44;49.382;22.753;26.629;85,4;117,0;;;;;;;;;;;;;
;;45 a 49;45.297;20.641;24.656;83,7;119,5;;;;;;;;;;;;;
;;50 a 54;40.494;18.394;22.100;83,2;120,1;;;;;;;;;;;;;
;;55 a 59;32.930;15.073;17.857;84,4;118,5;;;;;;;;;;;;;
;;60 a 64;25.336;11.216;14.120;79,4;125,9;;;;;;;;;;;;;
;;65 a 69;19.708;8.960;10.748;83,4;120,0;;;;;;;;;;;;;
;;70 a 74;13.498;6.318;7.180;88,0;113,6;;;;;;;;;;;;;
;;75 a 79;9.588;4.461;5.127;87,0;114,9;;;;;;;;;;;;;
;;80 a 84;6.261;2.745;3.516;78,1;128,1;;;;;;;;;;;;;
;;85 y más;5.345;2.321;3.024;76,8;130,3;;;;;;;;;;;;;
;Centro Poblado;Total;151.572;76.976;74.596;103,2;96,9;;;;;;;;;;;;;
;;0 a 4;14.859;7.638;7.221;105,8;94,5;;;;;;;;;;;;;
;;5 a 9;17.111;8.806;8.305;106,0;94,3;;;;;;;;;;;;;
;;10 a 14;17.810;9.263;8.547;108,4;92,3;;;;;;;;;;;;;
;;15 a 19;15.865;8.100;7.765;104,3;95,9;;;;;;;;;;;;;
;;20 a 24;12.463;6.288;6.175;101,8;98,2;;;;;;;;;;;;;
;;25 a 29;11.261;5.606;5.655;99,1;100,9;;;;;;;;;;;;;
;;30 a 34;10.058;4.977;5.081;98,0;102,1;;;;;;;;;;;;;
;;35 a 39;9.460;4.568;4.892;93,4;107,1;;;;;;;;;;;;;
;;40 a 44;8.558;4.270;4.288;99,6;100,4;;;;;;;;;;;;;
;;45 a 49;7.768;3.979;3.789;105,0;95,2;;;;;;;;;;;;;
;;50 a 54;6.473;3.300;3.173;104,0;96,2;;;;;;;;;;;;;
;;55 a 59;5.411;2.768;2.643;104,7;95,5;;;;;;;;;;;;;
;;60 a 64;4.082;2.063;2.019;102,2;97,9;;;;;;;;;;;;;
;;65 a 69;3.671;1.858;1.813;102,5;97,6;;;;;;;;;;;;;
;;70 a 74;2.550;1.372;1.178;116,5;85,9;;;;;;;;;;;;;
;;75 a 79;1.932;994;938;106,0;94,4;;;;;;;;;;;;;
;;80 a 84;1.240;644;596;108,1;92,5;;;;;;;;;;;;;
;;85 y más;1.000;482;518;93,1;107,5;;;;;;;;;;;;;
;Rural disperso;Total;113.046;63.038;50.008;126,1;79,3;;;;;;;;;;;;;
;;0 a 4;12.993;6.539;6.454;101,3;98,7;;;;;;;;;;;;;
;;5 a 9;13.389;6.926;6.463;107,2;93,3;;;;;;;;;;;;;
;;10 a 14;12.990;6.809;6.181;110,2;90,8;;;;;;;;;;;;;
;;15 a 19;11.616;6.433;5.183;124,1;80,6;;;;;;;;;;;;;
;;20 a 24;9.513;5.304;4.209;126,0;79,4;;;;;;;;;;;;;
;;25 a 29;8.053;4.428;3.625;122,2;81,9;;;;;;;;;;;;;
;;30 a 34;7.713;4.355;3.358;129,7;77,1;;;;;;;;;;;;;
;;35 a 39;7.157;4.040;3.117;129,6;77,2;;;;;;;;;;;;;
;;40 a 44;6.316;3.729;2.587;144,1;69,4;;;;;;;;;;;;;
;;45 a 49;5.546;3.276;2.270;144,3;69,3;;;;;;;;;;;;;
;;50 a 54;4.741;2.834;1.907;148,6;67,3;;;;;;;;;;;;;
;;55 a 59;3.988;2.509;1.479;169,6;58,9;;;;;;;;;;;;;
;;60 a 64;2.979;1.906;1.073;177,6;56,3;;;;;;;;;;;;;
;;65 a 69;2.465;1.627;838;194,2;51,5;;;;;;;;;;;;;
;;70 a 74;1.638;1.088;550;197,8;50,6;;;;;;;;;;;;;
;;75 a 79;949;622;327;190,2;52,6;;;;;;;;;;;;;
;;80 a 84;565;362;203;178,3;56,1;;;;;;;;;;;;;
;;85 y más;435;251;184;136,4;73,3;;;;;;;;;;;;;
23_Córdoba;Total;Total;1.555.596;774.448;781.148;99,1;100,9;;;;;;;;;;;;;
;;0 a 4;124.363;63.858;60.505;105,5;94,7;;;;;;;;;;;;;
;;5 a 9;141.418;72.734;68.684;105,9;94,4;;;;;;;;;;;;;
;;10 a 14;155.470;79.916;75.554;105,8;94,5;;;;;;;;;;;;;
;;15 a 19;150.069;77.088;72.981;105,6;94,7;;;;;;;;;;;;;
;;20 a 24;132.101;65.726;66.375;99,0;101,0;;;;;;;;;;;;;
;;25 a 29;117.675;58.005;59.670;97,2;102,9;;;;;;;;;;;;;
;;30 a 34;106.531;51.493;55.038;93,6;106,9;;;;;;;;;;;;;
;;35 a 39;103.481;49.964;53.517;93,4;107,1;;;;;;;;;;;;;
;;40 a 44;92.378;44.588;47.790;93,3;107,2;;;;;;;;;;;;;
;;45 a 49;89.474;43.590;45.884;95,0;105,3;;;;;;;;;;;;;
;;50 a 54;83.579;41.222;42.357;97,3;102,8;;;;;;;;;;;;;
;;55 a 59;71.459;34.850;36.609;95,2;105,0;;;;;;;;;;;;;
;;60 a 64;57.054;27.844;29.210;95,3;104,9;;;;;;;;;;;;;
;;65 a 69;42.182;20.617;21.565;95,6;104,6;;;;;;;;;;;;;
;;70 a 74;33.610;16.601;17.009;97,6;102,5;;;;;;;;;;;;;
;;75 a 79;24.377;12.033;12.344;97,5;102,6;;;;;;;;;;;;;
;;80 a 84;16.620;7.844;8.776;89,4;111,9;;;;;;;;;;;;;
;;85 y más;13.755;6.475;7.280;88,9;112,4;;;;;;;;;;;;;
;Cabecera;Total;873.743;420.691;453.052;92,9;107,7;;;;;;;;;;;;;
;;0 a 4;67.371;34.637;32.734;105,8;94,5;;;;;;;;;;;;;
;;5 a 9;74.321;38.038;36.283;104,8;95,4;;;;;;;;;;;;;
;;10 a 14;80.618;40.851;39.767;102,7;97,3;;;;;;;;;;;;;
;;15 a 19;80.827;40.663;40.164;101,2;98,8;;;;;;;;;;;;;
;;20 a 24;77.009;37.629;39.380;95,6;104,7;;;;;;;;;;;;;
;;25 a 29;70.743;34.081;36.662;93,0;107,6;;;;;;;;;;;;;
;;30 a 34;64.008;30.321;33.687;90,0;111,1;;;;;;;;;;;;;
;;35 a 39;61.990;29.022;32.968;88,0;113,6;;;;;;;;;;;;;
;;40 a 44;53.251;24.528;28.723;85,4;117,1;;;;;;;;;;;;;
;;45 a 49;51.030;23.410;27.620;84,8;118,0;;;;;;;;;;;;;
;;50 a 54;48.323;22.403;25.920;86,4;115,7;;;;;;;;;;;;;
;;55 a 59;41.436;18.953;22.483;84,3;118,6;;;;;;;;;;;;;
;;60 a 64;32.628;14.890;17.738;83,9;119,1;;;;;;;;;;;;;
;;65 a 69;23.461;10.606;12.855;82,5;121,2;;;;;;;;;;;;;
;;70 a 74;17.672;8.027;9.645;83,2;120,2;;;;;;;;;;;;;
;;75 a 79;12.832;5.765;7.067;81,6;122,6;;;;;;;;;;;;;
;;80 a 84;8.727;3.715;5.012;74,1;134,9;;;;;;;;;;;;;
;;85 y más;7.496;3.152;4.344;72,6;137,8;;;;;;;;;;;;;
;Centro Poblado;Total;246.432;125.081;121.351;103,1;97,0;;;;;;;;;;;;;
;;0 a 4;19.743;10.146;9.597;105,7;94,6;;;;;;;;;;;;;
;;5 a 9;23.048;11.945;11.103;107,6;93,0;;;;;;;;;;;;;
;;10 a 14;26.027;13.548;12.479;108,6;92,1;;;;;;;;;;;;;
;;15 a 19;24.817;12.869;11.948;107,7;92,8;;;;;;;;;;;;;
;;20 a 24;20.106;10.095;10.011;100,8;99,2;;;;;;;;;;;;;
;;25 a 29;17.298;8.646;8.652;99,9;100,1;;;;;;;;;;;;;
;;30 a 34;15.451;7.522;7.929;94,9;105,4;;;;;;;;;;;;;
;;35 a 39;15.320;7.471;7.849;95,2;105,1;;;;;;;;;;;;;
;;40 a 44;14.251;7.102;7.149;99,3;100,7;;;;;;;;;;;;;
;;45 a 49;14.188;7.145;7.043;101,4;98,6;;;;;;;;;;;;;
;;50 a 54;13.137;6.796;6.341;107,2;93,3;;;;;;;;;;;;;
;;55 a 59;11.115;5.588;5.527;101,1;98,9;;;;;;;;;;;;;
;;60 a 64;9.112;4.639;4.473;103,7;96,4;;;;;;;;;;;;;
;;65 a 69;6.972;3.563;3.409;104,5;95,7;;;;;;;;;;;;;
;;70 a 74;5.981;3.145;2.836;110,9;90,2;;;;;;;;;;;;;
;;75 a 79;4.420;2.218;2.202;100,7;99,3;;;;;;;;;;;;;
;;80 a 84;3.095;1.483;1.612;92,0;108,7;;;;;;;;;;;;;
;;85 y más;2.351;1.160;1.191;97,4;102,7;;;;;;;;;;;;;
;Rural disperso;Total;435.421;228.676;206.745;110,6;90,4;;;;;;;;;;;;;
;;0 a 4;37.249;19.075;18.174;105,0;95,3;;;;;;;;;;;;;
;;5 a 9;44.049;22.751;21.298;106,8;93,6;;;;;;;;;;;;;
;;10 a 14;48.825;25.517;23.308;109,5;91,3;;;;;;;;;;;;;
;;15 a 19;44.425;23.556;20.869;112,9;88,6;;;;;;;;;;;;;
;;20 a 24;34.986;18.002;16.984;106,0;94,3;;;;;;;;;;;;;
;;25 a 29;29.634;15.278;14.356;106,4;94,0;;;;;;;;;;;;;
;;30 a 34;27.072;13.650;13.422;101,7;98,3;;;;;;;;;;;;;
;;35 a 39;26.171;13.471;12.700;106,1;94,3;;;;;;;;;;;;;
;;40 a 44;24.876;12.958;11.918;108,7;92,0;;;;;;;;;;;;;
;;45 a 49;24.256;13.035;11.221;116,2;86,1;;;;;;;;;;;;;
;;50 a 54;22.119;12.023;10.096;119,1;84,0;;;;;;;;;;;;;
;;55 a 59;18.908;10.309;8.599;119,9;83,4;;;;;;;;;;;;;
;;60 a 64;15.314;8.315;6.999;118,8;84,2;;;;;;;;;;;;;
;;65 a 69;11.749;6.448;5.301;121,6;82,2;;;;;;;;;;;;;
;;70 a 74;9.957;5.429;4.528;119,9;83,4;;;;;;;;;;;;;
;;75 a 79;7.125;4.050;3.075;131,7;75,9;;;;;;;;;;;;;
;;80 a 84;4.798;2.646;2.152;123,0;81,3;;;;;;;;;;;;;
;;85 y más;3.908;2.163;1.745;124,0;80,7;;;;;;;;;;;;;
25_Cundinamarca;Total;Total;2.792.877;1.379.858;1.413.019;97,7;102,4;;;;;;;;;;;;;
;;0 a 4;184.089;94.734;89.355;106,0;94,3;;;;;;;;;;;;;
;;5 a 9;206.189;105.469;100.720;104,7;95,5;;;;;;;;;;;;;
;;10 a 14;224.748;115.249;109.499;105,3;95,0;;;;;;;;;;;;;
;;15 a 19;240.701;123.393;117.308;105,2;95,1;;;;;;;;;;;;;
;;20 a 24;245.838;125.361;120.477;104,1;96,1;;;;;;;;;;;;;
;;25 a 29;227.516;113.389;114.127;99,4;100,7;;;;;;;;;;;;;
;;30 a 34;214.090;105.449;108.641;97,1;103,0;;;;;;;;;;;;;
;;35 a 39;210.365;102.995;107.370;95,9;104,2;;;;;;;;;;;;;
;;40 a 44;179.435;86.563;92.872;93,2;107,3;;;;;;;;;;;;;
;;45 a 49;173.241;83.019;90.222;92,0;108,7;;;;;;;;;;;;;
;;50 a 54;166.858;80.197;86.661;92,5;108,1;;;;;;;;;;;;;
;;55 a 59;145.452;69.331;76.121;91,1;109,8;;;;;;;;;;;;;
;;60 a 64;116.372;55.843;60.529;92,3;108,4;;;;;;;;;;;;;
;;65 a 69;88.777;42.707;46.070;92,7;107,9;;;;;;;;;;;;;
;;70 a 74;64.240;30.305;33.935;89,3;112,0;;;;;;;;;;;;;
;;75 a 79;46.893;21.574;25.319;85,2;117,4;;;;;;;;;;;;;
;;80 a 84;31.814;13.756;18.058;76,2;131,3;;;;;;;;;;;;;
;;85 y más;26.259;10.524;15.735;66,9;149,5;;;;;;;;;;;;;
;Cabecera;Total;2.042.247;987.368;1.054.879;93,6;106,8;;;;;;;;;;;;;
;;0 a 4;138.233;71.199;67.034;106,2;94,2;;;;;;;;;;;;;
;;5 a 9;151.815;77.546;74.269;104,4;95,8;;;;;;;;;;;;;
;;10 a 14;162.963;83.088;79.875;104,0;96,1;;;;;;;;;;;;;
;;15 a 19;175.427;88.318;87.109;101,4;98,6;;;;;;;;;;;;;
;;20 a 24;187.735;93.666;94.069;99,6;100,4;;;;;;;;;;;;;
;;25 a 29;177.323;87.372;89.951;97,1;103,0;;;;;;;;;;;;;
;;30 a 34;166.287;81.067;85.220;95,1;105,1;;;;;;;;;;;;;
;;35 a 39;161.036;77.604;83.432;93,0;107,5;;;;;;;;;;;;;
;;40 a 44;133.231;62.611;70.620;88,7;112,8;;;;;;;;;;;;;
;;45 a 49;125.915;58.359;67.556;86,4;115,8;;;;;;;;;;;;;
;;50 a 54;119.133;55.005;64.128;85,8;116,6;;;;;;;;;;;;;
;;55 a 59;101.423;46.157;55.266;83,5;119,7;;;;;;;;;;;;;
;;60 a 64;78.611;35.351;43.260;81,7;122,4;;;;;;;;;;;;;
;;65 a 69;57.502;25.878;31.624;81,8;122,2;;;;;;;;;;;;;
;;70 a 74;40.215;17.534;22.681;77,3;129,4;;;;;;;;;;;;;
;;75 a 79;28.884;12.305;16.579;74,2;134,7;;;;;;;;;;;;;
;;80 a 84;19.798;7.987;11.811;67,6;147,9;;;;;;;;;;;;;
;;85 y más;16.716;6.321;10.395;60,8;164,5;;;;;;;;;;;;;
;Centro Poblado;Total;163.783;82.005;81.778;100,3;99,7;;;;;;;;;;;;;
;;0 a 4;11.470;5.856;5.614;104,3;95,9;;;;;;;;;;;;;
;;5 a 9;12.690;6.407;6.283;102,0;98,1;;;;;;;;;;;;;
;;10 a 14;13.774;7.127;6.647;107,2;93,3;;;;;;;;;;;;;
;;15 a 19;14.528;7.404;7.124;103,9;96,2;;;;;;;;;;;;;
;;20 a 24;15.927;8.701;7.226;120,4;83,0;;;;;;;;;;;;;
;;25 a 29;13.204;6.727;6.477;103,9;96,3;;;;;;;;;;;;;
;;30 a 34;12.009;5.898;6.111;96,5;103,6;;;;;;;;;;;;;
;;35 a 39;11.955;5.860;6.095;96,1;104,0;;;;;;;;;;;;;
;;40 a 44;10.434;4.984;5.450;91,4;109,3;;;;;;;;;;;;;
;;45 a 49;10.066;4.919;5.147;95,6;104,6;;;;;;;;;;;;;
;;50 a 54;9.336;4.596;4.740;97,0;103,1;;;;;;;;;;;;;
;;55 a 59;7.798;3.727;4.071;91,5;109,2;;;;;;;;;;;;;
;;60 a 64;6.207;3.088;3.119;99,0;101,0;;;;;;;;;;;;;
;;65 a 69;4.782;2.313;2.469;93,7;106,7;;;;;;;;;;;;;
;;70 a 74;3.699;1.767;1.932;91,5;109,3;;;;;;;;;;;;;
;;75 a 79;2.634;1.226;1.408;87,1;114,8;;;;;;;;;;;;;
;;80 a 84;1.796;825;971;85,0;117,7;;;;;;;;;;;;;
;;85 y más;1.474;580;894;64,9;154,1;;;;;;;;;;;;;
;Rural disperso;Total;586.847;310.485;276.362;112,3;89,0;;;;;;;;;;;;;
;;0 a 4;34.386;17.679;16.707;105,8;94,5;;;;;;;;;;;;;
;;5 a 9;41.684;21.516;20.168;106,7;93,7;;;;;;;;;;;;;
;;10 a 14;48.011;25.034;22.977;109,0;91,8;;;;;;;;;;;;;
;;15 a 19;50.746;27.671;23.075;119,9;83,4;;;;;;;;;;;;;
;;20 a 24;42.176;22.994;19.182;119,9;83,4;;;;;;;;;;;;;
;;25 a 29;36.989;19.290;17.699;109,0;91,8;;;;;;;;;;;;;
;;30 a 34;35.794;18.484;17.310;106,8;93,6;;;;;;;;;;;;;
;;35 a 39;37.374;19.531;17.843;109,5;91,4;;;;;;;;;;;;;
;;40 a 44;35.770;18.968;16.802;112,9;88,6;;;;;;;;;;;;;
;;45 a 49;37.260;19.741;17.519;112,7;88,7;;;;;;;;;;;;;
;;50 a 54;38.389;20.596;17.793;115,8;86,4;;;;;;;;;;;;;
;;55 a 59;36.231;19.447;16.784;115,9;86,3;;;;;;;;;;;;;
;;60 a 64;31.554;17.404;14.150;123,0;81,3;;;;;;;;;;;;;
;;65 a 69;26.493;14.516;11.977;121,2;82,5;;;;;;;;;;;;;
;;70 a 74;20.326;11.004;9.322;118,0;84,7;;;;;;;;;;;;;
;;75 a 79;15.375;8.043;7.332;109,7;91,2;;;;;;;;;;;;;
;;80 a 84;10.220;4.944;5.276;93,7;106,7;;;;;;;;;;;;;
;;85 y más;8.069;3.623;4.446;81,5;122,7;;;;;;;;;;;;;
27_Chocó;Total;Total;457.412;225.982;231.430;97,6;102,4;;;;;;;;;;;;;
;;0 a 4;50.805;25.824;24.981;103,4;96,7;;;;;;;;;;;;;
;;5 a 9;53.370;27.088;26.282;103,1;97,0;;;;;;;;;;;;;
;;10 a 14;52.216;26.610;25.606;103,9;96,2;;;;;;;;;;;;;
;;15 a 19;45.969;23.901;22.068;108,3;92,3;;;;;;;;;;;;;
;;20 a 24;40.215;20.390;19.825;102,8;97,2;;;;;;;;;;;;;
;;25 a 29;37.728;18.323;19.405;94,4;105,9;;;;;;;;;;;;;
;;30 a 34;33.320;16.001;17.319;92,4;108,2;;;;;;;;;;;;;
;;35 a 39;27.658;13.339;14.319;93,2;107,3;;;;;;;;;;;;;
;;40 a 44;23.229;11.037;12.192;90,5;110,5;;;;;;;;;;;;;
;;45 a 49;20.154;9.697;10.457;92,7;107,8;;;;;;;;;;;;;
;;50 a 54;17.731;8.300;9.431;88,0;113,6;;;;;;;;;;;;;
;;55 a 59;16.489;7.641;8.848;86,4;115,8;;;;;;;;;;;;;
;;60 a 64;12.531;5.887;6.644;88,6;112,9;;;;;;;;;;;;;
;;65 a 69;8.997;4.280;4.717;90,7;110,2;;;;;;;;;;;;;
;;70 a 74;5.687;2.783;2.904;95,8;104,3;;;;;;;;;;;;;
;;75 a 79;5.039;2.330;2.709;86,0;116,3;;;;;;;;;;;;;
;;80 a 84;3.531;1.498;2.033;73,7;135,7;;;;;;;;;;;;;
;;85 y más;2.743;1.053;1.690;62,3;160,5;;;;;;;;;;;;;
;Cabecera;Total;225.672;106.614;119.058;89,5;111,7;;;;;;;;;;;;;
;;0 a 4;20.922;10.740;10.182;105,5;94,8;;;;;;;;;;;;;
;;5 a 9;22.291;11.222;11.069;101,4;98,6;;;;;;;;;;;;;
;;10 a 14;23.367;11.637;11.730;99,2;100,8;;;;;;;;;;;;;
;;15 a 19;22.148;11.172;10.976;101,8;98,2;;;;;;;;;;;;;
;;20 a 24;20.784;10.108;10.676;94,7;105,6;;;;;;;;;;;;;
;;25 a 29;20.800;9.656;11.144;86,6;115,4;;;;;;;;;;;;;
;;30 a 34;18.269;8.417;9.852;85,4;117,0;;;;;;;;;;;;;
;;35 a 39;15.324;6.923;8.401;82,4;121,3;;;;;;;;;;;;;
;;40 a 44;11.945;5.336;6.609;80,7;123,9;;;;;;;;;;;;;
;;45 a 49;10.277;4.587;5.690;80,6;124,0;;;;;;;;;;;;;
;;50 a 54;9.613;4.190;5.423;77,3;129,4;;;;;;;;;;;;;
;;55 a 59;8.894;3.762;5.132;73,3;136,4;;;;;;;;;;;;;
;;60 a 64;6.866;2.990;3.876;77,1;129,6;;;;;;;;;;;;;
;;65 a 69;4.792;2.070;2.722;76,0;131,5;;;;;;;;;;;;;
;;70 a 74;3.103;1.385;1.718;80,6;124,0;;;;;;;;;;;;;
;;75 a 79;2.763;1.146;1.617;70,9;141,1;;;;;;;;;;;;;
;;80 a 84;1.973;752;1.221;61,6;162,4;;;;;;;;;;;;;
;;85 y más;1.541;521;1.020;51,1;195,8;;;;;;;;;;;;;
;Centro Poblado;Total;73.814;37.545;36.269;103,5;96,6;;;;;;;;;;;;;
;;0 a 4;7.377;3.788;3.589;105,5;94,7;;;;;;;;;;;;;
;;5 a 9;8.573;4.459;4.114;108,4;92,3;;;;;;;;;;;;;
;;10 a 14;8.861;4.651;4.210;110,5;90,5;;;;;;;;;;;;;
;;15 a 19;7.533;3.995;3.538;112,9;88,6;;;;;;;;;;;;;
;;20 a 24;6.020;3.131;2.889;108,4;92,3;;;;;;;;;;;;;
;;25 a 29;5.628;2.798;2.830;98,9;101,1;;;;;;;;;;;;;
;;30 a 34;5.219;2.540;2.679;94,8;105,5;;;;;;;;;;;;;
;;35 a 39;4.391;2.250;2.141;105,1;95,2;;;;;;;;;;;;;
;;40 a 44;3.744;1.868;1.876;99,6;100,4;;;;;;;;;;;;;
;;45 a 49;3.592;1.819;1.773;102,6;97,5;;;;;;;;;;;;;
;;50 a 54;3.074;1.501;1.573;95,4;104,8;;;;;;;;;;;;;
;;55 a 59;2.785;1.345;1.440;93,4;107,1;;;;;;;;;;;;;
;;60 a 64;2.182;1.089;1.093;99,6;100,4;;;;;;;;;;;;;
;;65 a 69;1.644;800;844;94,8;105,5;;;;;;;;;;;;;
;;70 a 74;1.030;521;509;102,4;97,7;;;;;;;;;;;;;
;;75 a 79;965;468;497;94,2;106,2;;;;;;;;;;;;;
;;80 a 84;663;293;370;79,2;126,3;;;;;;;;;;;;;
;;85 y más;533;229;304;75,3;132,8;;;;;;;;;;;;;
;Rural disperso;Total;157.926;81.823;76.103;107,5;93,0;;;;;;;;;;;;;
;;0 a 4;22.506;11.296;11.210;100,8;99,2;;;;;;;;;;;;;
;;5 a 9;22.506;11.407;11.099;102,8;97,3;;;;;;;;;;;;;
;;10 a 14;19.988;10.322;9.666;106,8;93,6;;;;;;;;;;;;;
;;15 a 19;16.288;8.734;7.554;115,6;86,5;;;;;;;;;;;;;
;;20 a 24;13.411;7.151;6.260;114,2;87,5;;;;;;;;;;;;;
;;25 a 29;11.300;5.869;5.431;108,1;92,5;;;;;;;;;;;;;
;;30 a 34;9.832;5.044;4.788;105,3;94,9;;;;;;;;;;;;;
;;35 a 39;7.943;4.166;3.777;110,3;90,7;;;;;;;;;;;;;
;;40 a 44;7.540;3.833;3.707;103,4;96,7;;;;;;;;;;;;;
;;45 a 49;6.285;3.291;2.994;109,9;91,0;;;;;;;;;;;;;
;;50 a 54;5.044;2.609;2.435;107,1;93,3;;;;;;;;;;;;;
;;55 a 59;4.810;2.534;2.276;111,3;89,8;;;;;;;;;;;;;
;;60 a 64;3.483;1.808;1.675;107,9;92,6;;;;;;;;;;;;;
;;65 a 69;2.561;1.410;1.151;122,5;81,6;;;;;;;;;;;;;
;;70 a 74;1.554;877;677;129,5;77,2;;;;;;;;;;;;;
;;75 a 79;1.311;716;595;120,3;83,1;;;;;;;;;;;;;
;;80 a 84;895;453;442;102,5;97,6;;;;;;;;;;;;;
;;85 y más;669;303;366;82,8;120,8;;;;;;;;;;;;;
41_Huila;Total;Total;1.009.548;503.766;505.782;99,6;100,4;;;;;;;;;;;;;
;;0 a 4;80.449;41.417;39.032;106,1;94,2;;;;;;;;;;;;;
;;5 a 9;83.447;42.688;40.759;104,7;95,5;;;;;;;;;;;;;
;;10 a 14;90.766;46.512;44.254;105,1;95,1;;;;;;;;;;;;;
;;15 a 19;96.443;49.366;47.077;104,9;95,4;;;;;;;;;;;;;
;;20 a 24;89.094;45.533;43.561;104,5;95,7;;;;;;;;;;;;;
;;25 a 29;80.530;40.385;40.145;100,6;99,4;;;;;;;;;;;;;
;;30 a 34;72.341;36.109;36.232;99,7;100,3;;;;;;;;;;;;;
